x/y,0,17,34,51,68,85,102,119,136,153,170,187,204,221,238,255,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17,0.079,0.114,0.197,0.402,0.498,0.258,0.108,0.043,0.017,0.007,0.003,0.001,0.0,0.0,0.0,0.0,
34,0.102,0.14,0.238,0.494,0.705,0.659,0.408,0.173,0.077,0.035,0.015,0.006,0.002,0.0,0.0,0.001,
51,0.102,0.14,0.238,0.494,0.705,0.659,0.409,0.174,0.08,0.041,0.027,0.028,0.036,0.091,0.577,0.642,
68,0.102,0.14,0.239,0.495,0.706,0.664,0.421,0.199,0.125,0.13,0.221,0.393,0.234,0.107,0.583,0.682,
85,0.102,0.14,0.239,0.495,0.706,0.665,0.423,0.202,0.132,0.144,0.249,0.461,0.422,0.328,0.626,0.735,
102,0.102,0.14,0.24,0.497,0.715,0.687,0.47,0.292,0.305,0.408,0.387,0.52,0.439,0.33,0.627,0.743,
119,0.102,0.14,0.24,0.497,0.715,0.687,0.471,0.293,0.307,0.413,0.396,0.54,0.491,0.527,0.752,0.807,
136,0.105,0.143,0.244,0.505,0.738,0.746,0.583,0.513,0.561,0.532,0.452,0.563,0.498,0.528,0.752,0.81,
153,0.993,0.991,0.985,0.968,0.913,0.812,0.609,0.521,0.564,0.533,0.453,0.563,0.498,0.528,0.752,0.81,
170,0.993,0.991,0.985,0.968,0.913,0.813,0.612,0.529,0.578,0.564,0.517,0.723,0.832,0.627,0.77,0.857,
187,0.993,0.991,0.985,0.968,0.914,0.814,0.613,0.53,0.58,0.567,0.525,0.741,0.879,0.793,0.871,0.909,
204,0.994,0.992,0.985,0.969,0.918,0.828,0.646,0.594,0.697,0.804,0.902,0.942,0.936,0.798,0.874,0.929,
221,0.994,0.993,0.987,0.973,0.927,0.85,0.691,0.681,0.855,0.927,0.958,0.966,0.942,0.799,0.875,0.932,
238,0.994,0.993,0.987,0.973,0.927,0.85,0.692,0.682,0.857,0.932,0.968,0.987,0.997,1.0,1.0,0.998,
255,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
