x/y,0,17,34,51,68,85,102,119,136,153,170,187,204,221,238,255,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17,0.55,0.5,0.45,0.39,0.33,0.26,0.2,0.15,0.11,0.08,0.05,0.04,0.02,0.01,0.01,0.01,
34,0.11,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.12,0.1,0.09,0.07,0.06,0.04,0.03,0.03,
51,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,
68,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,
85,0.02,0.03,0.03,0.04,0.05,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.05,0.05,0.05,
102,0.0,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.05,0.06,0.06,0.07,0.07,0.07,0.07,0.06,
119,0.12,0.12,0.13,0.14,0.14,0.14,0.14,0.13,0.11,0.1,0.09,0.07,0.06,0.04,0.03,0.03,
136,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.03,0.03,0.04,0.05,0.07,0.07,
153,0.0,0.01,0.01,0.01,0.02,0.03,0.04,0.05,0.07,0.08,0.09,0.1,0.11,0.12,0.12,0.12,
170,0.01,0.03,0.04,0.04,0.05,0.07,0.08,0.09,0.09,0.1,0.1,0.09,0.09,0.08,0.07,0.07,
187,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.12,0.11,0.09,0.07,0.06,0.04,0.03,0.03,
204,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,
221,0.0,0.01,0.01,0.02,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.08,0.09,0.09,0.09,0.09,
238,0.03,0.03,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.06,
255,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.03,0.04,0.06,0.09,0.12,0.16,0.16,
