x/y,0,17,34,51,68,85,102,119,136,153,170,187,204,221,238,255,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17,0.079,0.113,0.197,0.402,0.498,0.258,0.108,0.043,0.017,0.007,0.003,0.001,0.0,0.0,0.0,0.0,
34,0.024,0.026,0.041,0.092,0.206,0.4,0.301,0.129,0.06,0.028,0.012,0.004,0.001,0.0,0.0,0.0,
51,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.003,0.006,0.012,0.022,0.034,0.091,0.577,0.641,
68,0.0,0.0,0.0,0.001,0.002,0.006,0.012,0.025,0.045,0.089,0.194,0.365,0.198,0.015,0.006,0.039,
85,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.003,0.006,0.014,0.028,0.068,0.188,0.222,0.043,0.054,
102,0.0,0.001,0.001,0.002,0.008,0.022,0.047,0.089,0.173,0.264,0.138,0.059,0.017,0.002,0.001,0.008,
119,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.004,0.009,0.02,0.052,0.197,0.125,0.064,
136,0.003,0.002,0.004,0.009,0.023,0.058,0.112,0.22,0.254,0.119,0.056,0.023,0.006,0.001,0.0,0.002,
153,0.888,0.848,0.741,0.462,0.175,0.066,0.026,0.009,0.003,0.001,0.001,0.0,0.0,0.0,0.0,0.0,
170,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.008,0.014,0.03,0.064,0.16,0.334,0.099,0.018,0.048,
187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.004,0.008,0.018,0.047,0.166,0.102,0.052,
204,0.001,0.001,0.001,0.002,0.005,0.014,0.033,0.064,0.117,0.236,0.377,0.201,0.057,0.005,0.003,0.02,
221,0.0,0.001,0.002,0.003,0.009,0.022,0.045,0.087,0.158,0.124,0.056,0.024,0.006,0.001,0.0,0.003,
238,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.005,0.01,0.021,0.054,0.201,0.125,0.066,
255,0.006,0.007,0.013,0.027,0.073,0.15,0.308,0.318,0.143,0.068,0.032,0.013,0.003,0.0,0.0,0.002,
