Y/X,0,17,34,51,68,85,102,119,136,153,170,187,204,221,238,255,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17,0.009,0.015,0.021,0.024,0.027,0.033,0.04,0.047,0.053,0.057,0.062,0.067,0.072,0.078,0.083,0.081,
34,0.073,0.083,0.08,0.077,0.073,0.067,0.06,0.056,0.051,0.047,0.042,0.037,0.031,0.026,0.023,0.024,
51,0.058,0.046,0.046,0.049,0.057,0.06,0.063,0.063,0.068,0.071,0.072,0.071,0.073,0.074,0.074,0.073,
68,0.06,0.078,0.078,0.084,0.08,0.078,0.078,0.074,0.073,0.069,0.065,0.063,0.059,0.054,0.05,0.05,
85,0.02,0.017,0.023,0.025,0.03,0.035,0.039,0.043,0.048,0.051,0.056,0.062,0.066,0.07,0.072,0.072,
102,0.078,0.069,0.073,0.078,0.078,0.078,0.078,0.074,0.07,0.068,0.063,0.06,0.057,0.053,0.049,0.046,
119,0.041,0.045,0.045,0.05,0.053,0.06,0.063,0.069,0.07,0.071,0.072,0.072,0.075,0.073,0.074,0.078,
136,0.26,0.23,0.21,0.191,0.167,0.14,0.121,0.102,0.085,0.074,0.061,0.05,0.04,0.029,0.024,0.027,
153,0.068,0.082,0.086,0.08,0.076,0.077,0.07,0.067,0.062,0.06,0.057,0.051,0.047,0.041,0.037,0.038,
170,0.103,0.083,0.083,0.08,0.078,0.073,0.069,0.065,0.063,0.058,0.054,0.051,0.045,0.041,0.037,0.039,
187,0.039,0.053,0.057,0.06,0.068,0.072,0.078,0.082,0.086,0.09,0.093,0.096,0.098,0.097,0.097,0.097,
204,0.11,0.108,0.101,0.097,0.097,0.093,0.09,0.084,0.081,0.079,0.074,0.069,0.065,0.059,0.054,0.055,
221,0.024,0.034,0.041,0.041,0.044,0.05,0.054,0.06,0.062,0.064,0.068,0.07,0.074,0.078,0.077,0.083,
238,0.045,0.042,0.039,0.043,0.046,0.05,0.053,0.058,0.064,0.066,0.07,0.073,0.073,0.077,0.079,0.073,
255,0.012,0.015,0.016,0.02,0.026,0.035,0.044,0.055,0.065,0.076,0.091,0.108,0.125,0.148,0.17,0.166,
